City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kuang,MY,80.01,few clouds,3.2594,101.5541,Guest House Dpinggiran
4,Takoradi,GH,80.76,light rain,4.8845,-1.7554,Raybow International Hotel
16,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
26,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Atuona,PF,80.67,few clouds,-9.8,-139.0333,Villa Enata
29,Hithadhoo,MV,82.99,few clouds,-0.6,73.0833,Scoop Guest House
33,Namatanai,PG,84.38,scattered clouds,-3.6667,152.4333,Namatanai Hotel
35,Meulaboh,ID,75.06,overcast clouds,4.1363,96.1285,Kost Pria
39,Kailua,US,84.2,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
45,Kota Bahru,MY,75.2,few clouds,6.1333,102.2386,Grand Riverview Hotel
46,Saint George,US,80.6,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
47,Sur,OM,83.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
54,Kudahuvadhoo,MV,82.96,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
55,Bandarbeyla,SO,82.36,light rain,9.4942,50.8122,JABIR HOTEL
61,Ormara,PK,79.63,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
63,Taoudenni,ML,88.74,clear sky,22.6783,-3.9836,
66,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
68,Dhidhdhoo,MV,83.41,few clouds,6.8833,73.1,Dhidhoo beach
70,Sirajganj,BD,82.26,scattered clouds,24.45,89.7167,Sourav talukder
74,Rikitea,PF,78.71,light rain,-23.1203,-134.9692,Pension Maro'i
75,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Kununurra,AU,77.0,scattered clouds,-15.7667,128.7333,Hotel Kununurra
81,Tiarei,PF,84.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
82,Ugoofaaru,MV,83.59,scattered clouds,5.6667,73.0,Ungoofaaru Inn
95,Cabo San Lucas,MX,80.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
96,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
104,Buraydah,SA,77.0,clear sky,26.326,43.975,فندق راحة السلام
109,Isangel,VU,81.7,overcast clouds,-19.55,169.2667,Tanna Lodge
115,Bengkulu,ID,75.83,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
124,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
132,Port-Gentil,GA,80.6,broken clouds,-0.7193,8.7815,Fengshui Residence
136,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
139,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
142,Arraial Do Cabo,BR,75.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
146,Honiara,SB,86.49,broken clouds,-9.4333,159.95,Heritage Park Hotel
151,Nioro,GM,79.16,scattered clouds,13.35,-15.75,
155,Abonnema,NG,77.65,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
156,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
157,Kavieng,PG,84.22,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
159,Bundaberg,AU,75.2,scattered clouds,-24.85,152.35,Takalvan Motel
166,Razole,IN,78.37,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
173,Ouallam,NE,85.71,clear sky,14.3188,2.0866,
178,Manthani,IN,83.43,few clouds,18.65,79.6667,Social Welfare Boys Hostel
182,Victoria,HK,78.01,broken clouds,22.2855,114.1577,Mini Hotel Central
185,Atar,MR,80.35,clear sky,20.5169,-13.0499,Oumou Elghoura
192,Santarem,BR,82.4,clear sky,-2.4431,-54.7083,Ecotur Lodge
193,Kidal,ML,86.05,clear sky,18.4411,1.4078,
194,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
195,Tual,ID,84.88,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
196,Soyo,AO,78.66,overcast clouds,-6.1349,12.3689,Hotel Mpampa
