City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ventspils,LV,57.3894,21.5606,35.6,93,90,17.27,overcast clouds
1,Hasaki,JP,35.7333,140.8333,64.0,63,75,10.36,broken clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,20,6.91,few clouds
3,Kuang,MY,3.2594,101.5541,80.01,89,20,1.5,few clouds
4,Takoradi,GH,4.8845,-1.7554,80.76,85,78,7.96,light rain
5,Ushuaia,AR,-54.8,-68.3,50.0,50,40,1.14,scattered clouds
6,Beringovskiy,RU,63.05,179.3167,32.22,93,100,4.16,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,48.99,78,93,7.0,overcast clouds
8,Evensk,RU,61.95,159.2333,26.92,74,100,11.77,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,65.19,83,67,7.74,broken clouds
10,Bardiyah,LY,31.7561,25.0865,63.7,80,22,23.44,few clouds
11,Albany,US,42.6001,-73.9662,60.01,35,96,2.82,overcast clouds
12,Jumla,NP,29.2747,82.1838,41.54,60,1,6.64,clear sky
13,Mgandu,TZ,-5.95,34.1333,62.87,89,93,5.7,light rain
14,Kotelnich,RU,58.3089,48.348,42.87,88,100,9.98,moderate rain
15,Kaitangata,NZ,-46.2817,169.8464,51.01,60,73,8.01,broken clouds
16,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,broken clouds
17,Yellowknife,CA,62.456,-114.3525,19.4,49,75,14.97,broken clouds
18,Port Elizabeth,ZA,-33.918,25.5701,57.2,94,90,6.15,overcast clouds
19,Avarua,CK,-21.2078,-159.775,82.4,74,75,12.66,broken clouds
20,Port Shepstone,ZA,-30.7414,30.455,66.2,80,12,7.07,few clouds
21,Halifax,CA,44.6453,-63.5724,59.0,29,50,5.75,scattered clouds
22,Bluff,NZ,-46.6,168.3333,48.99,78,96,7.0,overcast clouds
23,Henties Bay,NA,-22.116,14.2845,63.66,85,0,0.74,clear sky
24,Saint-Augustin,CA,51.226,-58.6502,36.97,74,99,7.99,overcast clouds
25,Olafsvik,IS,64.8945,-23.7142,42.93,91,99,20.49,moderate rain
26,Puerto Ayora,EC,-0.7393,-90.3518,75.99,95,67,8.01,broken clouds
27,Arica,CL,-18.475,-70.3042,66.2,77,0,4.61,clear sky
28,Atuona,PF,-9.8,-139.0333,80.67,72,15,14.43,few clouds
29,Hithadhoo,MV,-0.6,73.0833,82.99,69,15,7.96,few clouds
30,Jamestown,US,42.097,-79.2353,53.6,40,90,10.36,overcast clouds
31,Katangli,RU,51.7102,143.2326,33.75,68,4,8.12,clear sky
32,Esperance,AU,-33.8667,121.9,55.4,88,59,17.27,broken clouds
33,Namatanai,PG,-3.6667,152.4333,84.38,69,34,8.7,scattered clouds
34,Ancud,CL,-41.8697,-73.8203,55.99,93,90,5.75,overcast clouds
