City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hasaki,JP,2021-04-19 23:30:29,35.7333,140.8333,60.8,51,20,2.3
1,Tautira,PF,2021-04-19 23:30:30,-17.7333,-149.15,82.4,78,75,6.91
2,Lobito,AO,2021-04-19 23:30:30,-12.3481,13.5456,80.28,80,64,2.28
3,Albany,US,2021-04-19 23:26:55,42.6001,-73.9662,57.99,56,100,3.8
4,Tasiilaq,GL,2021-04-19 23:30:30,65.6145,-37.6368,24.8,68,15,11.5
5,Ushuaia,AR,2021-04-19 23:30:31,-54.8,-68.3,42.8,87,40,21.85
6,Atuona,PF,2021-04-19 23:30:31,-9.8,-139.0333,80.51,76,23,18.57
7,Agadir,MA,2021-04-19 23:28:46,30.4202,-9.5982,60.8,82,0,5.75
8,Champasak,LA,2021-04-19 23:30:32,14.75,106.0,73.76,93,100,2.1
9,Nicoya,CR,2021-04-19 23:30:32,10.1483,-85.452,71.6,94,75,10.36
10,Georgetown,MY,2021-04-19 23:26:37,5.4112,100.3354,77.0,94,40,2.3
11,Kapaa,US,2021-04-19 23:30:33,22.0752,-159.319,82.0,73,40,9.22
12,The Valley,AI,2021-04-19 23:30:33,18.217,-63.0578,80.6,73,20,12.66
13,Rikitea,PF,2021-04-19 23:30:34,-23.1203,-134.9692,78.24,72,1,10.25
14,Vaini,TO,2021-04-19 23:30:34,-21.2,-175.2,80.6,78,75,10.36
15,Mataura,NZ,2021-04-19 23:30:34,-46.1927,168.8643,64.0,60,0,5.99
16,Nishihara,JP,2021-04-19 23:30:35,26.1842,127.7558,71.6,56,40,14.97
17,Yellowknife,CA,2021-04-19 23:30:35,62.456,-114.3525,33.8,69,20,9.22
18,Lulea,SE,2021-04-19 23:30:36,65.5842,22.1547,30.2,93,4,3.44
19,Bahia Blanca,AR,2021-04-19 23:30:36,-38.7196,-62.2724,71.96,63,7,15.21
20,Tura,IN,2021-04-19 23:30:36,25.5198,90.2201,69.87,91,15,5.28
21,San Vicente,AR,2021-04-19 23:30:37,-26.6167,-54.1333,62.47,65,7,3.2
22,Port Alfred,ZA,2021-04-19 23:30:37,-33.5906,26.891,64.89,73,100,11.14
23,Geraldton,AU,2021-04-19 23:30:38,-28.7667,114.6,51.8,93,2,4.61
24,Knysna,ZA,2021-04-19 23:30:38,-34.0363,23.0471,55.4,94,75,11.5
25,Chicama,PE,2021-04-19 23:30:38,-7.8447,-79.1469,66.2,88,40,12.66
26,Torbay,CA,2021-04-19 23:30:39,47.6666,-52.7314,39.0,87,100,5.01
27,Port Elizabeth,ZA,2021-04-19 23:30:39,-33.918,25.5701,59.0,94,75,3.44
28,Khandyga,RU,2021-04-19 23:30:39,62.6667,135.6,27.37,93,100,4.18
29,Yenagoa,NG,2021-04-19 23:30:40,4.9247,6.2642,77.92,90,100,4.18
30,Kuching,MY,2021-04-19 23:30:40,1.55,110.3333,71.6,100,40,1.14
31,Mehran,IR,2021-04-19 23:30:41,33.1222,46.1646,62.6,36,0,7.16
32,Cape Town,ZA,2021-04-19 23:29:32,-33.9258,18.4232,62.01,72,0,6.91
33,Nioro,GM,2021-04-19 23:30:41,13.35,-15.75,80.58,41,63,7.7
34,Torrijos,ES,2021-04-19 23:30:42,39.9819,-4.2835,55.99,76,0,5.75
35,Saint Anthony,US,2021-04-19 23:30:42,45.0205,-93.218,39.0,44,90,11.5
36,Sioux Lookout,CA,2021-04-19 23:30:42,50.1001,-91.917,32.0,37,75,11.5
37,Kuji,JP,2021-04-19 23:30:43,40.1878,141.7689,58.89,56,1,12.39
38,Chokurdakh,RU,2021-04-19 23:30:43,70.6333,147.9167,18.1,86,100,14.85
39,Espinosa,BR,2021-04-19 23:30:44,-14.9261,-42.8192,69.64,94,95,1.54
40,Fortuna,US,2021-04-19 23:30:44,40.5982,-124.1573,57.99,76,40,11.5
41,Busselton,AU,2021-04-19 23:30:44,-33.65,115.3333,53.01,98,79,7.63
42,Punta Arenas,CL,2021-04-19 23:30:45,-53.15,-70.9167,42.8,70,0,11.5
43,Dingle,PH,2021-04-19 23:30:45,10.9995,122.6711,81.3,75,100,8.32
44,Puerto Ayora,EC,2021-04-19 23:26:41,-0.7393,-90.3518,82.4,74,40,11.5
45,Avarua,CK,2021-04-19 23:30:46,-21.2078,-159.775,82.4,69,75,9.22
46,Oparino,RU,2021-04-19 23:30:46,59.8518,48.2783,28.22,75,0,3.22
47,Mareeba,AU,2021-04-19 23:30:46,-17.0,145.4333,75.0,97,83,5.01
48,Arraial Do Cabo,BR,2021-04-19 23:30:47,-22.9661,-42.0278,73.4,88,0,19.57
49,Dikson,RU,2021-04-19 23:30:47,73.5069,80.5464,-5.13,96,11,6.85
50,Saskylakh,RU,2021-04-19 23:30:47,71.9167,114.0833,-2.67,93,70,2.77
51,Mazara Del Vallo,IT,2021-04-19 23:30:48,37.6641,12.588,60.01,82,40,12.66
52,Upernavik,GL,2021-04-19 23:30:48,72.7868,-56.1549,-1.05,80,27,6.69
53,Haicheng,CN,2021-04-19 23:30:48,40.8516,122.7475,63.66,30,85,5.86
54,Ahipara,NZ,2021-04-19 23:30:49,-35.1667,173.1667,65.08,91,100,15.95
55,Andenes,NO,2021-04-19 23:30:49,69.3143,16.1194,44.6,61,75,8.05
56,Bluff,NZ,2021-04-19 23:30:50,-46.6,168.3333,64.0,60,0,5.99
57,Kyzyl-Suu,KG,2021-04-19 23:30:50,42.3414,78.0056,42.33,52,34,5.66
58,Bredasdorp,ZA,2021-04-19 23:30:50,-34.5322,20.0403,59.0,72,92,17.27
59,Butaritari,KI,2021-04-19 23:30:51,3.0707,172.7902,83.44,76,96,11.86
60,Saint-Philippe,RE,2021-04-19 23:30:51,-21.3585,55.7679,75.2,94,90,3.44
61,Iqaluit,CA,2021-04-19 23:30:12,63.7506,-68.5145,19.4,79,40,4.61
62,Pevek,RU,2021-04-19 23:30:52,69.7008,170.3133,25.74,75,32,9.91
63,Roebourne,AU,2021-04-19 23:30:52,-20.7833,117.1333,78.67,50,0,7.27
64,Minab,IR,2021-04-19 23:30:52,27.1467,57.0801,71.6,83,2,4.61
65,La Ronge,CA,2021-04-19 23:30:53,55.1001,-105.2842,33.8,40,100,11.5
66,Kropotkin,RU,2021-04-19 23:30:53,45.4375,40.5756,55.0,95,100,5.39
67,Taksimo,RU,2021-04-19 23:30:54,56.3444,114.8794,23.7,65,97,1.66
68,Gigmoto,PH,2021-04-19 23:30:54,13.7796,124.39,77.74,91,100,29.1
69,Salalah,OM,2021-04-19 23:30:54,17.0151,54.0924,80.6,78,0,4.61
70,Faanui,PF,2021-04-19 23:30:55,-16.4833,-151.75,82.58,70,7,12.15
71,Codrington,AU,2021-04-19 23:30:55,-38.2667,141.9667,51.66,85,78,16.67
72,Sao Filipe,CV,2021-04-19 23:30:56,14.8961,-24.4956,72.84,75,66,9.42
73,Tuktoyaktuk,CA,2021-04-19 23:30:56,69.4541,-133.0374,26.6,86,20,3.44
74,Jaguaribe,BR,2021-04-19 23:30:56,-5.8906,-38.6219,75.85,81,98,3.87
75,Severo-Kurilsk,RU,2021-04-19 23:30:57,50.6789,156.125,37.67,91,83,15.7
76,Hobart,AU,2021-04-19 23:30:57,-42.8794,147.3294,51.01,87,75,11.5
77,Qaanaaq,GL,2021-04-19 23:30:57,77.484,-69.3632,0.68,80,98,6.69
78,Hermanus,ZA,2021-04-19 23:30:58,-34.4187,19.2345,61.0,77,88,8.99
79,Kurgan,RU,2021-04-19 23:30:58,55.45,65.3333,24.64,51,1,3.49
80,Tazovskiy,RU,2021-04-19 23:30:59,67.4667,78.7,11.25,94,100,12.71
81,Barrow,US,2021-04-19 23:30:59,71.2906,-156.7887,24.8,80,90,20.71
82,Makat,KZ,2021-04-19 23:30:59,47.6469,53.3463,49.53,67,100,16.58
83,New Norfolk,AU,2021-04-19 23:31:00,-42.7826,147.0587,51.01,71,100,4.0
84,Hatillo,PR,2021-04-19 23:31:00,18.4863,-66.8254,84.0,83,40,5.75
85,Tuatapere,NZ,2021-04-19 23:31:01,-46.1333,167.6833,64.0,60,2,5.99
86,Camocim,BR,2021-04-19 23:31:01,-2.9022,-40.8411,74.88,89,96,0.6
87,Khatanga,RU,2021-04-19 23:31:01,71.9667,102.5,-6.0,96,50,3.74
88,Batagay-Alyta,RU,2021-04-19 23:31:02,67.8006,130.4114,10.63,88,99,5.39
89,Ferme-Neuve,CA,2021-04-19 23:31:02,46.7001,-75.4493,59.0,29,87,10.36
90,Bonthe,SL,2021-04-19 23:31:02,7.5264,-12.505,80.91,82,61,7.16
91,Isangel,VU,2021-04-19 23:31:03,-19.55,169.2667,86.0,79,20,5.75
92,Brae,GB,2021-04-19 23:31:03,60.3964,-1.353,46.4,81,100,13.8
93,Bani,DO,2021-04-19 23:31:04,18.2833,-70.3333,81.0,79,88,1.01
94,Ruston,US,2021-04-19 23:28:32,32.5232,-92.6379,66.2,45,1,2.57
95,Rio Pardo,BR,2021-04-19 23:31:04,-29.9897,-52.3781,64.4,66,2,7.76
96,Galle,LK,2021-04-19 23:31:04,6.0367,80.217,79.72,81,80,5.26
97,Caconda,AO,2021-04-19 23:31:05,-13.7333,15.0667,57.69,67,11,3.58
98,Port Lincoln,AU,2021-04-19 23:31:05,-34.7333,135.8667,58.68,76,37,22.77
99,Nemuro,JP,2021-04-19 23:31:06,43.3236,145.575,44.15,79,1,20.54
100,Beloha,MG,2021-04-19 23:31:06,-25.1667,45.05,67.3,77,0,12.19
101,Ahuimanu,US,2021-04-19 23:31:06,21.4447,-157.8378,84.2,65,40,11.5
